Transaction ID,Amount,Reference Number,Date,Description,Account Number
TXN0396,179.97,REF0396,2024-01-05,Payment #396,ACC0396
TXN0397,4974.47,REF0397,2024-02-06,Marketing #397,ACC0397
TXN0398,3245.97,REF0398,2024-03-07,Payment #398,ACC0398
TXN0399,1612.79,REF0399,2024-04-08,License #399,ACC0399
TXN0400,4818.30,REF0400,2024-05-09,Maintenance #400,ACC0400
TXN0401,1412.77,REF0401,2024-06-10,Payment #401,ACC0401
TXN0402,1533.16,REF0402,2024-07-11,Equipment #402,ACC0402
TXN0403,2806.16,REF0403,2024-08-12,Supplies #403,ACC0403
TXN0404,562.18,REF0404,2024-09-13,Supplies #404,ACC0404
TXN0405,2279.63,REF0405,2024-10-14,Marketing #405,ACC0405
TXN0406,454.83,REF0406,2024-11-15,Supplies #406,ACC0406
TXN0407,3599.01,REF0407,2024-12-16,Maintenance #407,ACC0407
TXN0408,2088.10,REF0408,2024-01-17,Payment #408,ACC0408
TXN0409,2010.33,REF0409,2024-02-18,Supplies #409,ACC0409
TXN0410,3398.75,REF0410,2024-03-19,Training #410,ACC0410
TXN0411,3481.10,REF0411,2024-04-20,Marketing #411,ACC0411
TXN0412,445.44,REF0412,2024-05-21,Training #412,ACC0412
TXN0413,3664.50,REF0413,2024-06-22,Marketing #413,ACC0413
TXN0414,1409.07,REF0414,2024-07-23,Supplies #414,ACC0414
TXN0415,3022.05,REF0415,2024-08-24,Marketing #415,ACC0415
TXN0416,1736.32,REF0416,2024-09-25,Supplies #416,ACC0416
TXN0417,4048.20,REF0417,2024-10-26,Supplies #417,ACC0417
TXN0418,281.22,REF0418,2024-11-27,Marketing #418,ACC0418
TXN0419,4763.24,REF0419,2024-12-28,Travel #419,ACC0419
TXN0420,2158.90,REF0420,2024-01-01,Subscription #420,ACC0420
TXN0421,2051.86,REF0421,2024-02-02,Payment #421,ACC0421
TXN0422,2349.71,REF0422,2024-03-03,Training #422,ACC0422
TXN0423,2988.29,REF0423,2024-04-04,Training #423,ACC0423
TXN0424,2630.03,REF0424,2024-05-05,Supplies #424,ACC0424
TXN0425,2677.76,REF0425,2024-06-06,Travel #425,ACC0425
TXN0426,3482.14,REF0426,2024-07-07,Equipment #426,ACC0426
TXN0427,567.68,REF0427,2024-08-08,Travel #427,ACC0427
TXN0428,2370.78,REF0428,2024-09-09,Training #428,ACC0428
TXN0429,1606.94,REF0429,2024-10-10,Maintenance #429,ACC0429
TXN0430,954.25,REF0430,2024-11-11,Consulting #430,ACC0430
TXN0431,2697.66,REF0431,2024-12-12,Equipment #431,ACC0431
TXN0432,4461.17,REF0432,2024-01-13,Marketing #432,ACC0432
TXN0433,4327.46,REF0433,2024-02-14,Subscription #433,ACC0433
TXN0434,438.57,REF0434,2024-03-15,Equipment #434,ACC0434
TXN0435,302.54,REF0435,2024-04-16,Supplies #435,ACC0435
TXN0436,1521.52,REF0436,2024-05-17,License #436,ACC0436
TXN0437,3472.89,REF0437,2024-06-18,Supplies #437,ACC0437
TXN0438,4409.00,REF0438,2024-07-19,License #438,ACC0438
TXN0439,2650.17,REF0439,2024-08-20,Supplies #439,ACC0439
TXN0440,728.13,REF0440,2024-09-21,Subscription #440,ACC0440
TXN0441,1411.95,REF0441,2024-10-22,Equipment #441,ACC0441
TXN0442,2210.17,REF0442,2024-11-23,Maintenance #442,ACC0442
TXN0443,4651.84,REF0443,2024-12-24,Marketing #443,ACC0443
TXN0444,1161.84,REF0444,2024-01-25,Consulting #444,ACC0444
TXN0445,1751.23,REF0445,2024-02-26,Supplies #445,ACC0445
TXN0446,2048.19,REF0446,2024-03-27,Payment #446,ACC0446
TXN0447,4610.90,REF0447,2024-04-28,Consulting #447,ACC0447
TXN0448,4820.21,REF0448,2024-05-01,Payment #448,ACC0448
TXN0449,3833.82,REF0449,2024-06-02,Supplies #449,ACC0449
TXN0450,3702.38,REF0450,2024-07-03,Maintenance #450,ACC0450
TXN0451,1251.06,REF0451,2024-08-04,Marketing #451,ACC0451
TXN0452,2790.15,REF0452,2024-09-05,Payment #452,ACC0452
TXN0453,4342.57,REF0453,2024-10-06,Payment #453,ACC0453
TXN0454,757.75,REF0454,2024-11-07,License #454,ACC0454
TXN0455,2088.13,REF0455,2024-12-08,Subscription #455,ACC0455
TXN0456,1796.96,REF0456,2024-01-09,Maintenance #456,ACC0456
TXN0457,3336.15,REF0457,2024-02-10,Travel #457,ACC0457
TXN0458,3116.68,REF0458,2024-03-11,Training #458,ACC0458
TXN0459,2896.18,REF0459,2024-04-12,Travel #459,ACC0459
TXN0460,1817.00,REF0460,2024-05-13,Equipment #460,ACC0460
TXN0461,3495.11,REF0461,2024-06-14,Subscription #461,ACC0461
TXN0462,1666.02,REF0462,2024-07-15,License #462,ACC0462
TXN0463,4444.30,REF0463,2024-08-16,Equipment #463,ACC0463
TXN0464,724.35,REF0464,2024-09-17,Consulting #464,ACC0464
TXN0465,4726.23,REF0465,2024-10-18,Maintenance #465,ACC0465
TXN0466,4122.99,REF0466,2024-11-19,License #466,ACC0466
TXN0467,4920.07,REF0467,2024-12-20,Subscription #467,ACC0467
TXN0468,1499.25,REF0468,2024-01-21,Payment #468,ACC0468
TXN0469,1423.81,REF0469,2024-02-22,Maintenance #469,ACC0469
TXN0470,3102.67,REF0470,2024-03-23,Subscription #470,ACC0470
TXN0471,344.87,REF0471,2024-04-24,Maintenance #471,ACC0471
TXN0472,1327.42,REF0472,2024-05-25,Payment #472,ACC0472
TXN0473,4314.85,REF0473,2024-06-26,Training #473,ACC0473
TXN0474,3992.76,REF0474,2024-07-27,License #474,ACC0474
TXN0475,2586.53,REF0475,2024-08-28,Supplies #475,ACC0475
TXN0476,2982.77,REF0476,2024-09-01,Training #476,ACC0476
TXN0477,4849.15,REF0477,2024-10-02,Travel #477,ACC0477
TXN0478,3754.28,REF0478,2024-11-03,Travel #478,ACC0478
TXN0479,121.74,REF0479,2024-12-04,Marketing #479,ACC0479
TXN0480,2866.60,REF0480,2024-01-05,Training #480,ACC0480
TXN0481,3679.86,REF0481,2024-02-06,Payment #481,ACC0481
TXN0482,2652.70,REF0482,2024-03-07,Supplies #482,ACC0482
TXN0483,409.33,REF0483,2024-04-08,Travel #483,ACC0483
TXN0484,2733.13,REF0484,2024-05-09,License #484,ACC0484
TXN0485,2461.25,REF0485,2024-06-10,Payment #485,ACC0485
TXN0486,3514.93,REF0486,2024-07-11,Maintenance #486,ACC0486
TXN0487,2349.14,REF0487,2024-08-12,Payment #487,ACC0487
TXN0488,1321.08,REF0488,2024-09-13,Marketing #488,ACC0488
TXN0489,3881.58,REF0489,2024-10-14,Training #489,ACC0489
TXN0490,1377.80,REF0490,2024-11-15,Supplies #490,ACC0490
TXN0491,3654.97,REF0491,2024-12-16,Supplies #491,ACC0491
TXN0492,1445.27,REF0492,2024-01-17,Training #492,ACC0492
TXN0493,4880.64,REF0493,2024-02-18,License #493,ACC0493
TXN0494,2544.71,REF0494,2024-03-19,Subscription #494,ACC0494
TXN0495,2522.49,REF0495,2024-04-20,Training #495,ACC0495
TXN0496,3501.24,REF0496,2024-05-21,Training #496,ACC0496
TXN0497,3741.36,REF0497,2024-06-22,Payment #497,ACC0497
TXN0498,4628.81,REF0498,2024-07-23,Consulting #498,ACC0498
TXN0499,1733.15,REF0499,2024-08-24,License #499,ACC0499
TXN0500,140.65,REF0500,2024-09-25,Equipment #500,ACC0500
